Size	   Bubble Sort	Selection Sort	Insertion Sort
50	44228.613	14911.83	18362.555
100	36530.234	11564.685	63332.953
150	68110.49	23189.18	13592.98
200	82239.8	32870.844	19181.006
250	141734.5	56407.137	34153.105
300	190810.19	73628.84	44259.875
350	273260.12	108200.52	66375.68
400	321112.47	121385.68	73467.12
450	422598.38	161664.83	101260.58
500	478893.9	184090.9	113884.46
550	598080.75	222885.77	140206.34
600	665780.5	249677.64	155057.55
650	750253.6	277069.88	176392.58
700	857569.2	319108.84	202473.64
750	975486.3	363449.4	231662.88
800	1110675.2	413747.03	262659.47
850	1245776.4	467270.25	294055.3
900	1383088.4	513942.62	327409.66
950	1597993.6	596115.6	381346.4
1000	1822783.4	676525.06	429687.03
